         9610377 function calls (9601061 primitive calls) in 6.360 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      223    0.009    0.000    0.055    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/artist.py:1442(get_aliases)
        1    0.000    0.000    0.052    0.052 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/collections.py:1(<module>)
        1    0.000    0.000    0.044    0.044 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:1(<module>)
        1    0.000    0.000    0.042    0.042 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/axes/_axes.py:1(<module>)
     4284    0.042    0.000    0.042    0.000 /home/lorenzo/Scrivania/lavoro/borsaNOgui/ProsumerGUROBI_FIX.py:141(_iter_update)
   127092    0.040    0.000    0.040    0.000 /home/lorenzo/Scrivania/lavoro/borsaNOgui/SimulatorDiscreteSync.py:270(__init__)
        1    0.000    0.000    0.039    0.039 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/patches.py:1(<module>)
        1    0.000    0.000    0.038    0.038 /home/lorenzo/.local/lib/python3.10/site-packages/mpl_toolkits/mplot3d/__init__.py:1(<module>)
     6668    0.004    0.000    0.038    0.000 /usr/lib/python3.10/re.py:288(_compile)
   252724    0.030    0.000    0.038    0.000 {built-in method _heapq.heappush}
        1    0.000    0.000    0.038    0.038 /home/lorenzo/.local/lib/python3.10/site-packages/mpl_toolkits/mplot3d/axes3d.py:1(<module>)
    13538    0.036    0.000    0.036    0.000 {built-in method numpy.array}
     5768    0.003    0.000    0.035    0.000 /usr/lib/python3.10/re.py:197(search)
      223    0.012    0.000    0.035    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/artist.py:1517(get_setters)
        1    0.000    0.000    0.034    0.034 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/rcsetup.py:1(<module>)
      195    0.001    0.000    0.032    0.000 /usr/lib/python3.10/sre_compile.py:783(compile)
        9    0.000    0.000    0.031    0.003 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:729(__init_subclass__)
       51    0.025    0.000    0.029    0.001 /home/lorenzo/Scrivania/lavoro/borsaNOgui/ProsumerGUROBI_FIX.py:114(_build_constraints)
       51    0.002    0.000    0.027    0.001 /home/lorenzo/Scrivania/lavoro/borsaNOgui/ProsumerGUROBI_FIX.py:102(_build_variables)
      136    0.001    0.000    0.024    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/_docstring.py:38(__call__)
  126/115    0.000    0.000    0.023    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/_docstring.py:79(__call__)
      130    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:950(get_code)
    12750    0.004    0.000    0.021    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/numpy/lib/function_base.py:873(copy)
      650    0.000    0.000    0.020    0.000 /usr/lib/python3.10/inspect.py:3252(signature)
      195    0.001    0.000    0.020    0.000 /usr/lib/python3.10/sre_parse.py:944(parse)
      650    0.000    0.000    0.020    0.000 /usr/lib/python3.10/inspect.py:2998(from_callable)
        1    0.000    0.000    0.020    0.020 /home/lorenzo/.local/lib/python3.10/site-packages/mpl_toolkits/mplot3d/art3d.py:1(<module>)
  714/650    0.003    0.000    0.020    0.000 /usr/lib/python3.10/inspect.py:2375(_signature_from_callable)
       30    0.003    0.000    0.019    0.001 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/__init__.py:847(_rc_params_in_file)
      223    0.010    0.000    0.019    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/artist.py:1453(<listcomp>)
       12    0.000    0.000    0.019    0.002 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/_docstring.py:51(__missing__)
  415/195    0.001    0.000    0.019    0.000 /usr/lib/python3.10/sre_parse.py:436(_parse_sub)
     1502    0.007    0.000    0.018    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/igraph/drawing/edge.py:234(intersect_bezier_circle)
  460/197    0.007    0.000    0.018    0.000 /usr/lib/python3.10/sre_parse.py:494(_parse)
      130    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      130    0.017    0.000    0.017    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.016    0.016 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/colors.py:1(<module>)
