method,alpha,byzantine_ids,byzantine_attack_probability,byzantine_multiplier_upper,byzantine_max_tampering,iterations,mitigation_count,avg_weight,avg_deviation
method2,0.75,[2],0.01,1.2,50,34,34,0.24176470588235285,119.01882352941176
method2,0.75,[2],0.05,1.3,1,95,95,0.3669473684210526,274.5442105263158
method2,0.9,[2],0.01,1.2,5,38,38,0.2347368421052631,115.60842105263157
method2,0.9,[2],0.01,1.2,10,13,13,0.02307692307692308,82.54923076923077
method2,0.75,[2],0.1,1.3,10,16,16,0.020000000000000004,83.26874999999998
method1,,[2],0.5,1.5,1,9,9,0.02111111111111112,81.35666666666667
method2,0.25,[2],0.05,1.2,5,18,18,0.03388888888888889,78.09777777777778
method2,0.75,[2],0.1,1.5,50,3,3,0.06666666666666667,70.60000000000001
method2,0.25,[2],0.05,1.3,10,58,58,0.3351724137931034,271.7736206896551
method2,0.5,[2],0.1,1.5,5,66,66,0.34590909090909094,320.19075757575763
method1,,[2],0.01,1.3,50,52,52,0.15749999999999995,106.80576923076923
method2,0.75,[2],0.1,1.5,30,336,336,0.27116071428571437,2567.0882738095243
method1,,[2],0.1,1.5,30,46,46,0.17086956521739124,105.49347826086952
method2,0.5,[2],0.5,1.3,1,56,56,0.16999999999999993,109.99821428571427
method2,0.75,[2],0.1,1.3,50,105,105,0.33961904761904754,265.3179047619048
method2,0.25,[2],0.5,1.2,10,218,218,0.2352752293577981,18423.239403669722
method2,0.25,[2],0.05,1.2,30,158,158,0.3246202531645571,188.079746835443
method2,0.75,[2],0.05,1.5,1,141,141,0.1514893617021276,112.0268794326241
method1,,[2],0.05,1.3,30,57,57,0.34649122807017535,267.24999999999994
method2,0.5,[2],0.05,1.5,30,56,56,0.42249999999999993,251.21696428571434
method2,0.5,[2],0.5,1.3,30,40,40,0.19374999999999998,100.91999999999999
method2,0.9,[2],0.5,1.2,50,96,96,0.2489583333333334,197.67937499999996
method2,0.75,[2],0.01,1.5,50,5,5,0.078,70.4
method1,,[2],0.01,1.3,1,86,86,0.31011627906976735,228.70755813953483
method2,0.9,[2],0.01,1.5,1,17,17,0.024705882352941178,79.61411764705882
method2,0.75,[2],0.05,1.5,5,461,461,0.22249457700650774,230.77501084598705
method2,0.9,[2],0.5,1.3,50,80,80,0.33362500000000017,186.73175000000003
method2,0.75,[2],0.05,1.2,5,28,28,0.27642857142857136,110.68392857142854
method2,0.75,[2],0.5,1.2,10,42,42,0.30547619047619046,157.4702380952381
method2,0.9,[2],0.1,1.3,10,108,108,0.34944444444444467,232.49277777777783
method2,0.75,[2],0.05,1.5,50,257,257,0.24361867704280157,328.65945525291835
method1,,[2],0.05,1.2,30,36,36,0.2327777777777777,118.41611111111108
method2,0.9,[2],0.1,1.5,10,89,89,0.2910112359550562,372.8957303370786
method2,0.25,[2],0.1,1.2,50,27,27,0.3255555555555554,128.11555555555555
method2,0.5,[2],0.1,1.3,1,165,165,0.19993939393939408,182.88496969696976
method2,0.25,[2],0.01,1.5,1,81,81,0.24320987654321,205.90851851851858
method2,0.75,[2],0.01,1.3,5,59,59,0.37288135593220334,294.46305084745757
method2,0.25,[2],0.5,1.3,1,122,122,0.3276229508196723,195.24188524590159
method2,0.25,[2],0.05,1.3,5,215,215,0.2302790697674417,182.46395348837208
method2,0.9,[2],0.5,1.2,5,347,347,0.31037463976945256,295.6087031700288
method1,,[2],0.01,1.3,10,711,711,0.1366385372714487,230.23748241912793
method2,0.5,[2],0.05,1.3,5,164,164,0.2545121951219513,273.109024390244
method2,0.25,[2],0.1,1.3,5,132,132,0.3203030303030304,231.06848484848487
method2,0.9,[2],0.1,1.2,30,96,96,0.29999999999999993,166.76322916666666
method1,,[2],0.5,1.3,1,58,58,0.3777586206896551,297.7336206896551
method2,0.75,[2],0.01,1.2,1,88,88,0.29034090909090904,250.82022727272727
method2,0.5,[2],0.1,1.2,50,104,104,0.2923076923076923,231.28509615384613
method2,0.75,[2],0.05,1.2,50,181,181,0.42220994475138124,277.0185082872928
method1,,[2],0.1,1.3,5,60,60,0.3773333333333333,293.05216666666655
method2,0.75,[2],0.01,1.5,10,171,171,0.1560818713450291,112.9726900584795
method2,0.25,[2],0.01,1.2,30,43,43,0.17674418604651157,128.5286046511628
method2,0.5,[2],0.1,1.3,30,121,121,0.2983471074380167,164.5393388429752
method2,0.75,[2],0.01,1.3,50,121,121,0.28826446280991735,188.84289256198355
method1,,[2],0.5,1.2,50,226,226,0.4811504424778757,364.6471238938055
method2,0.75,[2],0.01,1.5,30,187,187,0.22925133689839575,1088.994385026738
method1,,[2],0.01,1.2,1,94,94,0.3035106382978726,208.93765957446823
method2,0.75,[2],0.1,1.5,5,43,43,0.20837209302325566,114.11558139534888
method2,0.25,[2],0.01,1.5,5,422,422,0.2626777251184837,18618175.449052136
method2,0.9,[2],0.5,1.2,30,102,102,0.28852941176470603,219.27999999999997
method2,0.75,[2],0.05,1.3,30,57,57,0.3601754385964912,284.09526315789464
method2,0.9,[2],0.01,1.5,30,631,631,0.11591125198098279,239.96190174326463
method2,0.5,[2],0.5,1.5,1,3,3,0.09666666666666666,69.89
method1,,[2],0.5,1.5,5,40,40,0.1605,101.81649999999999
method2,0.75,[2],0.01,1.2,10,124,124,0.3008064516129032,200.8654838709678
method1,,[2],0.1,1.5,5,192,192,0.3370312499999999,255.2191145833333
