         50068 function calls (49873 primitive calls) in 28.666 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      6/4    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:650(_load_unlocked)
        1    0.000    0.000    0.002    0.002 /usr/local/lib/python3.8/dist-packages/mosaik/scenario.py:578(detect_unresolved_cycles)
       20    0.000    0.000    0.002    0.000 /root/models/cosima_core/simulators/communication_simulator.py:372(process_msg_from_omnet)
       29    0.002    0.000    0.002    0.000 /usr/lib/python3.8/json/encoder.py:204(iterencode)
       21    0.002    0.000    0.002    0.000 {built-in method io.open}
       91    0.002    0.000    0.002    0.000 {built-in method builtins.print}
        4    0.000    0.000    0.002    0.000 /usr/local/lib/python3.8/dist-packages/tqdm/std.py:760(get_lock)
        1    0.000    0.000    0.002    0.002 /usr/local/lib/python3.8/dist-packages/tqdm/std.py:90(__init__)
        1    0.000    0.000    0.002    0.002 /usr/local/lib/python3.8/dist-packages/tqdm/std.py:116(create_mp_lock)
        6    0.000    0.000    0.002    0.000 /usr/local/lib/python3.8/dist-packages/networkx/algorithms/cycles.py:235(_directed_cycle_search)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.8/multiprocessing/context.py:70(RLock)
       20    0.000    0.000    0.002    0.000 /root/models/cosima_core/util/util_functions.py:79(get_dict_from_protobuf_message)
       35    0.000    0.000    0.002    0.000 /usr/lib/python3.8/json/__init__.py:299(loads)
       20    0.000    0.000    0.002    0.000 /usr/local/lib/python3.8/dist-packages/google/protobuf/json_format.py:130(MessageToDict)
        4    0.000    0.000    0.002    0.000 /usr/local/lib/python3.8/dist-packages/tqdm/std.py:952(__init__)
      3/2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:842(exec_module)
       35    0.000    0.000    0.002    0.000 /usr/lib/python3.8/json/decoder.py:332(decode)
       11    0.001    0.000    0.002    0.000 /root/models/cosima_core/mosaik_sim/ProsumerGUROBI_FIX.py:143(_opti_status)
     10/6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       88    0.001    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/mosaik/scheduler.py:632(check_and_resolve_deadlocks)
       20    0.000    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/google/protobuf/json_format.py:197(_MessageToJsonObject)
      239    0.000    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/simpy/events.py:147(succeed)
       22    0.001    0.000    0.001    0.000 {built-in method _thread.start_new_thread}
       35    0.001    0.000    0.001    0.000 /usr/lib/python3.8/json/decoder.py:343(raw_decode)
        2    0.000    0.000    0.001    0.001 /usr/local/lib/python3.8/dist-packages/networkx/utils/decorators.py:765(func)
      174    0.000    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/google/protobuf/json_format.py:701(_ConvertScalarFieldValue)
        2    0.000    0.000    0.001    0.001 /usr/local/lib/python3.8/dist-packages/networkx/utils/decorators.py:697(_lazy_compile)
        2    0.000    0.000    0.001    0.001 /usr/local/lib/python3.8/dist-packages/networkx/utils/decorators.py:851(compile)
      5/4    0.000    0.000    0.001    0.000 {built-in method builtins.exec}
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.8/multiprocessing/synchronize.py:11(<module>)
        8    0.000    0.000    0.001    0.000 /root/models/cosima_core/mosaik_sim/SimulatorDiscreteCosima.py:366(update_trades)
       21    0.001    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/simpy/io/codec.py:61(__init__)
       20    0.000    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/google/protobuf/json_format.py:208(_RegularMessageToJsonObject)
       22    0.000    0.000    0.001    0.000 /usr/lib/python3.8/threading.py:761(__init__)
     12/9    0.000    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/networkx/classes/backends.py:129(wrapper)
        7    0.000    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/networkx/classes/digraph.py:316(__init__)
        2    0.001    0.001    0.001    0.001 {built-in method posix.system}
       88    0.000    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/mosaik/scheduler.py:213(has_next_step)
      255    0.001    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/simpy/io/base.py:52(schedule)
       21    0.001    0.000    0.001    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.8/dist-packages/mosaik/scenario.py:597(cache_trigger_cycles)
        2    0.000    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/networkx/convert.py:34(to_networkx_graph)
        2    0.001    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/networkx/utils/decorators.py:899(assemble)
       42    0.001    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/mosaik/scheduler.py:565(notify_dependencies)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:890(_find_spec)
       44    0.000    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/mosaik/scheduler.py:199(warn_if_successors_terminated)
       23    0.000    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/tqdm/std.py:451(fp_write)
        4    0.000    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/tqdm/std.py:1265(close)
       11    0.001    0.000    0.001    0.000 /root/models/cosima_core/mosaik_sim/ProsumerGUROBI_FIX.py:135(_iter_update)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      132    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
       47    0.000    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/mosaik/scheduler.py:193(keep_running)
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.8/dist-packages/tqdm/utils.py:333(_screen_shape_linux)
